Data;Saiu;Entrou;Custo_Transferido;Data_Original
2025-06-13;USDT;ETH;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2024-11-28
2025-06-21;ETH;USDT;0,0;2024-11-28
2025-06-21;ETH;USDT;0,0;2024-11-28
2025-06-21;ETH;USDT;0,0;2024-11-28
2025-06-21;ETH;USDT;0,0;2024-11-28
2025-06-21;ETH;USDT;0,0;2024-12-03
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-11
2025-06-21;ETH;USDT;0,0;2025-06-13
2025-06-21;ETH;USDT;0,0;2025-06-13
2025-06-21;ETH;USDT;0,0;2025-06-13
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WLD;USDT;0,0;2025-05-28
2025-06-22;WIF;USDT;0,0;2025-06-21
2025-06-22;WLD;BNB;0,0;2025-05-28
2025-06-22;SUI;USDT;0,0;2025-06-22
2025-06-22;SUI;USDT;0,0;2025-06-22
2025-06-24;SUI;USDT;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-21
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-22
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
