Data;Moeda;Qtd;Tipo;Status
2020-02-02;VET;100002,946;ENTRADA;Entrada Direta/Rendimento
2020-02-02;BAT;1551,614;ENTRADA;Entrada Direta/Rendimento
2020-02-02;ALGO;2022,724543;ENTRADA;Entrada Direta/Rendimento
2020-03-03;ALGO;2729,0;SAÍDA;Levantamento Externo
2020-03-13;ADA;88475,545;SAÍDA;Levantamento Externo
2020-04-13;IOTA;2162,347;ENTRADA;Entrada Direta/Rendimento
2020-04-13;RLC;501,25;ENTRADA;Entrada Direta/Rendimento
2020-04-14;LINK;46,0;SAÍDA;Levantamento Externo
2020-04-25;STX;960,069446;ENTRADA;Entrada Direta/Rendimento
2020-04-29;ETH;0,504;SAÍDA;Levantamento Externo
2020-05-22;BTC;0,09474552;ENTRADA;Entrada Direta/Rendimento
2020-05-31;ALGO;2770,332776;ENTRADA;Entrada Direta/Rendimento
2020-05-31;LINK;514,12961;ENTRADA;Entrada Direta/Rendimento
2020-06-01;XRP;2500,899976;ENTRADA;Entrada Direta/Rendimento
2020-06-01;XRP;4980,943473;ENTRADA;Entrada Direta/Rendimento
2020-06-05;XRP;2507,750792;ENTRADA;Entrada Direta/Rendimento
2020-06-23;ETH;2,00569548;SAÍDA;Levantamento Externo
2020-06-27;BTC;0,10173726;ENTRADA;Entrada Direta/Rendimento
2020-06-27;ETH;3,45;ENTRADA;Entrada Direta/Rendimento
2020-06-29;BTC;0,10010799;ENTRADA;Entrada Direta/Rendimento
2020-06-30;ETH;11,61523625;ENTRADA;Entrada Direta/Rendimento
2020-07-04;COMP;1,16799796;ENTRADA;Entrada Direta/Rendimento
2020-07-04;ETH;5,17635602;ENTRADA;Entrada Direta/Rendimento
2020-07-04;ADA;10,971334;SAÍDA;Levantamento Externo
2020-07-04;ADA;49971,0;SAÍDA;Levantamento Externo
2020-07-09;ETH;2,0031446;ENTRADA;Entrada Direta/Rendimento
2020-07-09;BTC;0,06640882;ENTRADA;Entrada Direta/Rendimento
2020-07-09;ETH;1,99887281;ENTRADA;Entrada Direta/Rendimento
2020-07-09;BTC;0,0528261;ENTRADA;Entrada Direta/Rendimento
2020-07-11;BTC;0,12;ENTRADA;Entrada Direta/Rendimento
2020-07-11;ETH;2,36;ENTRADA;Entrada Direta/Rendimento
2020-07-12;ADA;36146,631666;SAÍDA;Levantamento Externo
2020-07-13;XRP;4980,0;ENTRADA;Entrada Direta/Rendimento
2020-07-13;ETH;1,1756781;SAÍDA;Levantamento Externo
2020-07-13;BTC;0,19;ENTRADA;Entrada Direta/Rendimento
2020-07-14;BTC;0,12109188;ENTRADA;Entrada Direta/Rendimento
2020-07-15;ADA;100001,0;SAÍDA;Levantamento Externo
2020-07-17;VET;800,0;SAÍDA;Levantamento Externo
2020-07-17;VET;50152,402;SAÍDA;Levantamento Externo
2020-07-31;BTC;0,1010005;SAÍDA;Levantamento Externo
2020-08-12;BTC;0,05795798;SAÍDA;Levantamento Externo
2020-08-15;BTC;0,115248;SAÍDA;Levantamento Externo
2020-08-18;BTC;0,17864478;ENTRADA;Entrada Direta/Rendimento
2020-08-19;LEND;1018,98;SAÍDA;Levantamento Externo
2020-08-28;ADA;5,0;ENTRADA;Entrada Direta/Rendimento
2020-08-28;ADA;5595,0;ENTRADA;Entrada Direta/Rendimento
2020-09-04;ADA;174,0;ENTRADA;Entrada Direta/Rendimento
2020-09-04;ADA;39000,0;ENTRADA;Entrada Direta/Rendimento
2020-09-16;ADA;25039,959482;ENTRADA;Entrada Direta/Rendimento
2020-09-18;UNI;220,0;ENTRADA;Entrada Direta/Rendimento
2020-09-26;BTC;0,2544;SAÍDA;Levantamento Externo
2020-09-30;BTC;0,25443721;SAÍDA;Levantamento Externo
2020-11-03;DOT;3,1;SAÍDA;Levantamento Externo
2020-11-03;DOT;200,705;SAÍDA;Levantamento Externo
2020-11-11;SNX;104,91466;SAÍDA;Levantamento Externo
2020-11-14;AAVE;10,1898;SAÍDA;Levantamento Externo
2020-11-15;LEND;1045,37968652;ENTRADA;Entrada Direta/Rendimento
2020-11-15;AAVE;10,45379686;SAÍDA;Levantamento Externo
2020-12-11;XRP;5000,000639;ENTRADA;Entrada Direta/Rendimento
2020-12-14;XRP;5000,000639;SAÍDA;Levantamento Externo
2020-12-23;XRP;4999,750627;ENTRADA;Entrada Direta/Rendimento
2020-12-23;XRP;2086,541524;ENTRADA;Entrada Direta/Rendimento
2021-01-20;ADA;200,0;ENTRADA;Entrada Direta/Rendimento
2021-01-21;EUR;59,56;SAÍDA;Levantamento Externo
2021-01-24;XRP;1000,0;ENTRADA;Entrada Direta/Rendimento
